% Device	CC1138020		
% File name	CC1138020_20150801_170916		
% Cast time (UTC)	01/08/2015 17:09		
% Cast time (local)	01/08/2015 17:09		
% Sample type	Cast		
% Cast data	Raw		
% Location source	GPS		
% Default latitude	32		
% Default altitude	0		
% Start latitude	45.19989		
% Start longitude	-65.9896599		
% Start altitude	-7.460000038		
% Start GPS horizontal error(Meter)	1.379999995		
% Start GPS vertical error(Meter)	1.669999957		
% Start GPS number of satellites	10		
% End latitude	45.1998191		
% End longitude	-65.990245		
% End altitude	-4.960000038		
% End GPS horizontal error(Meter)	1.730000019		
% End GPS vertical error(Meter)	2.299999952		
% End GPS number of satellites	9		
% Cast duration (Seconds)	90.6		
% Samples per second	5		
% Electronics calibration date	0001-01-01		
% Conductivity calibration date	30/09/2011		
% Temperature calibration date	30/09/2011		
% Pressure calibration date	30/09/2011		
% 			
Time (Seconds)	Pressure (Decibar)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)
80.4	-0.001278934	12.75856209	834.0332031
80.6	0.000399197	12.83007526	825.2999268
80.8	-0.000550044	12.87369823	958.3879395
81	-0.001499286	12.89253235	1032.584961
81.2	-0.000775782	12.93005848	1020.50354
81.4	-0.001248187	12.94875336	988.1884766
81.6	-4.78E-05	12.97949886	954.1685791
81.8	-4.06E-05	13.00734615	918.1851196
82	-0.000989794	13.02817059	903.2167358
82.2	-0.001939035	13.08226776	896.2994995
82.4	-0.001216485	13.14490223	881.6745605
82.6	0.001178809	13.2023468	842.7081909
82.8	-7.90E-06	13.26010513	802.109375
83	0.00047528	13.32998753	787.8995361
83.2	0.001676574	13.39120483	772.6995239
83.4	0.002875961	13.45754242	749.7477417
83.6	0.000255882	13.52040958	727.3115845
83.8	-0.000693359	13.52486992	700.2892456
84	0.001223191	13.53658962	677.0031738
84.2	-0.00044226	13.5742321	678.9273071
84.4	-0.000914664	13.60113907	703.9393921
84.6	-0.000190207	13.62850857	713.4517822
84.8	-0.001377867	13.63026524	706.8818359
85	0.00029931	13.63483238	698.2783203
85.2	0.000545023	13.64776993	707.9248657
85.4	-0.001599173	13.65266991	726.0566406
85.6	-0.001352506	13.69073105	706.5019531
85.8	-0.001586492	13.73407459	706.3874512
86	-0.000862035	13.77836895	651.9165649
86.2	0.001292933	13.82035542	616.7219238
86.4	0.000343692	13.87377453	581.1106567
86.6	0.001305614	13.90608025	552.1331787
86.8	-0.001554791	13.91851616	542.446167
87	-0.001068752	13.9087677	535.7081299
87.2	-0.00034811	13.90782356	532.6394653
87.4	-0.002728817	13.92934322	517.8990479
