   200    9903 2011 07 01 18 54 00   47.663   55.4187    .65     50.2     .026 F    24.43 TR       5 Barrel                         
   200    9904 2011 06 30 18 18 00  47.6438   55.3962    .75       .0     .000 F      .00 TR       5 Barrel                         
   200    9904 2011 06 30 19 23 00  47.6437   55.3979    .98    131.9     .034 F     1.08 TR       5 Barrel                         
   200    9904 2011 06 30 19 33 00  47.6443   55.3987   1.02     90.4     .151 F     1.25 TR       5 Barrel                         
   200    9904 2011 06 30 20 24 00  47.6448      55.4   1.29    111.6     .036 F     2.10 TR       5 Barrel                         
   200    9904 2011 06 30 20 59 00  47.6453   55.4018   1.49    146.0     .070 F     2.68 TR       5 Barrel                         
   200    9904 2011 06 30 21 14 00  47.6458   55.4031   1.58    110.4     .123 F     2.93 TR       5 Barrel                         
   200    9904 2011 06 30 22 04 00  47.6468   55.4053   1.85    200.0     .067 F     3.77 TR       5 Barrel                         
   200    9904 2011 06 30 22 31 00  47.6479   55.4075   1.98    203.2     .125 F     4.22 TR       5 Barrel                         
   200    9904 2011 06 30 23 15 00  47.6498   55.4101   2.15    293.5     .111 F     4.95 TR       5 Barrel                         
   200    9904 2011 06 30 23 37 00  47.6508   55.4114   2.21    136.4     .103 F     5.32 TR       5 Barrel                         
   200    9904 2011 07 01 00 24 00  47.6528   55.4141   2.26    309.2     .110 S     6.10 TR       5 Barrel                         
   200    9904 2011 07 01 00 53 00  47.6538   55.4156   2.22    149.1     .086 E     6.58 TR       5 Barrel                         
   200    9904 2011 07 01 01 44 00  47.6554   55.4177   2.01    241.0     .079 E     7.43 TR       5 Barrel                         
   200    9904 2011 07 01 02 06 00  47.6562   55.4186   1.88    113.7     .086 E     7.80 TR       5 Barrel                         
   200    9904 2011 07 01 02 32 00  47.6565   55.4189   1.71     41.5     .027 E     8.23 TR       5 Barrel                         
   200    9904 2011 07 01 02 59 00  47.6568   55.4194   1.52     47.9     .030 E     8.68 TR       5 Barrel                         
   200    9904 2011 07 01 04 27 00   47.656   55.4228    .99    265.3     .050 E    10.15 TR       5 Barrel                         
   200    9904 2011 07 01 04 43 00  47.6558   55.4235    .92     62.1     .065 E    10.42 TR       5 Barrel                         
