   274    1005 20151015123628   45.00423   66.92502   2.00 F  Barrel                           
   274    1005 20151015124537   45.00328   66.92496   2.16 F  Barrel                           
   274    1005 20151015125535   45.00207   66.92438   2.35 F  Barrel                           
   274    1005 20151015133333   44.99658   66.92136   3.13 F  Barrel                           
   274    1005 20151015134404   44.99460   66.92084   3.36 F  Barrel                           
   274    1005 20151015135326   44.99297   66.91974   3.56 F  Barrel                           
   274    1005 20151015140324   44.99061   66.92035   3.78 F  Barrel                           
   274    1005 20151015141319   44.99032   66.91788   4.00 F  Barrel                           
   274    1005 20151015142314   44.99123   66.91736   4.22 F  Barrel                           
   274    1005 20151015143313   44.99131   66.91830   4.45 F  Barrel                           
   274    1005 20151015144335   44.99184   66.91827   4.66 F  Barrel                           
   274    1005 20151015145306   44.99112   66.92001   4.88 F  Barrel                           
   274    1005 20151015153337   44.98962   66.91937   5.67 F  Barrel                           
   274    1005 20151015154335   44.99004   66.91818   5.84 F  Barrel                           
   274    1005 20151015155258   44.99038   66.91776   5.99 F  Barrel                           
   274    1005 20151015160359   44.99101   66.91879   6.15 F  Barrel                           
   274    1005 20151015164353   44.98547   66.92111   6.53 F  Barrel                           
   275    1001 20151019104505   45.00527   66.92838   3.75 E  Barrel                           
   275    1001 20151019105207   45.00451   66.92731   3.63 E  Barrel                           
   275    1001 20151019110204   45.00375   66.92621   3.47 E  Barrel                           
   275    1001 20151019111206   45.00371   66.92563   3.31 E  Barrel                           
   275    1001 20151019112159   45.00411   66.92498   3.16 E  Barrel                           
   275    1001 20151019113159   45.00459   66.92422   2.99 E  Barrel                           
   275    1001 20151019114228   45.00482   66.92355   2.81 E  Barrel                           
   275    1001 20151019115154   45.00433   66.92334   2.67 E  Barrel                           
   275    1001 20151019120150   45.00418   66.92328   2.51 E  Barrel                           
   275    1001 20151019121149   45.00418   66.92328   2.36 E  Barrel                           
   275    1001 20151019122145   45.00417   66.92328   2.22 E  Barrel                           
   275    1001 20151019123148   45.00420   66.92328   2.08 E  Barrel                           
   275    1001 20151019124229   45.00422   66.92331   1.95 E  Barrel                           
   275    1001 20151019125150   45.00422   66.92331   1.85 E  Barrel                           
   275    1001 20151019130150   45.00425   66.92334   1.75 E  Barrel                           
   275    1001 20151019131144   45.00424   66.92328   1.67 E  Barrel                           
   275    1001 20151019132144   45.00424   66.92328   1.60 E  Barrel                           
   275    1001 20151019133143   45.00385   66.92151   1.56 E  Barrel                           
   275    1001 20151019134204   45.00359   66.92153   1.53 E  Barrel                           
   275    1001 20151019135135   45.00335   66.92151   1.52 F  Barrel                           
   275    1001 20151019140129   45.00311   66.92122   1.53 F  Barrel                           
   275    1001 20151019141128   45.00305   66.92084   1.57 F  Barrel                           
